"trida";"paragraf";"skupina";"oddil";"pododdil";"esif";"obdobi";"paragraf_nazev";"vykaz_date";"vykaz_year";"spending";"source"
"Běžné výdaje";"0000";NA;NA;NA;FALSE;NA;"Pro příjmy (technický záznam)";"2015-12-31";"2015";"0,000000000000000000000000000";"vlastní"
"Běžné výdaje";"0000";NA;NA;NA;FALSE;NA;"Pro příjmy (technický záznam)";"2016-12-31";"2016";"0,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2015-12-31";"2015";"243192022,050000011920928955078125000";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2016-12-31";"2016";"193517103,310000002384185791015625000";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2017-12-31";"2017";"204035707,980000019073486328125000000";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2018-12-31";"2018";"208216165,969999998807907104492187500";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2019-12-31";"2019";"270173928,089999973773956298828125000";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2020-12-31";"2020";"266535293,770000010728836059570312500";"vlastní"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2007-13";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2015-12-31";"2015";"2431952703,849999904632568359375000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2007-13";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2016-12-31";"2016";"0,000000000000000000000000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2014-20";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2015-12-31";"2015";"6479912032,100000381469726562500000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2014-20";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2016-12-31";"2016";"8420312749,090000152587890625000000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2014-20";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2017-12-31";"2017";"7505909990,869999885559082031250000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2014-20";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2018-12-31";"2018";"7179848166,170000076293945312500000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2014-20";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2019-12-31";"2019";"10421705079,819999694824218750000000000";"EU"
"Běžné výdaje";"1011";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";TRUE;"2014-20";"Udržování výrobního potenciálu zemědělství, zemědělský půdní fond a mimoprodukční funkce zemědělství";"2020-12-31";"2020";"10877057327,250000000000000000000000000";"EU"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2015-12-31";"2015";"17990771641,420001983642578125000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2016-12-31";"2016";"28493498566,909999847412109375000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2017-12-31";"2017";"23414996159,130001068115234375000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2018-12-31";"2018";"23452423844,979999542236328125000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2019-12-31";"2019";"24547639108,040000915527343750000000000";"vlastní"
"Běžné výdaje";"1012";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Podnikání a restrukturalizace v zemědělství a potravinářství";"2020-12-31";"2020";"26280976115,520000457763671875000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2015-12-31";"2015";"364171699,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2016-12-31";"2016";"337494803,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2017-12-31";"2017";"339715832,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2018-12-31";"2018";"349164987,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2019-12-31";"2019";"363049486,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1013";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Genetický potenciál hospodářských zvířat, osiv a sádí";"2020-12-31";"2020";"320500000,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2015-12-31";"2015";"1388363062,500000000000000000000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2016-12-31";"2016";"1650715523,700000047683715820312500000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2017-12-31";"2017";"1935068559,599999904632568359375000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2018-12-31";"2018";"2495770947,840000152587890625000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2019-12-31";"2019";"2645202416,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1014";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ozdravování hospodářských zvířat, polních a speciálních plodin a zvláštní veterinární péče";"2020-12-31";"2020";"2509777668,429999828338623046875000000";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2015-12-31";"2015";"167624055,460000008344650268554687500";"vlastní"
"Běžné výdaje";"1019";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Zemědělská a potravinářská činnost a rozvoj";FALSE;NA;"Ostatní zemědělská a potravinářská činnost a rozvoj";"2016-12-31";"2016";"422341298,699999988079071044921875000";"vlastní"
